C	CHEMISTRY; METALLURGY
C07C0047222000	with only carbon-to-carbon triple bonds as unsaturation
C07C0047225000	containing rings other than six-membered aromatic rings
C07C0047228000	containing six-membered aromatic rings, e.g. phenylacetaldehyde
C07C0047230000	polycyclic
C07C0047232000	having unsaturation outside the aromatic rings
C07C0047235000	containing six-membered aromatic rings and other rings
C07C0047238000	having unsaturation outside the aromatic rings
C07C0047240000	containing halogen
C07C0047260000	containing hydroxy groups
C07C0047263000	acyclic
C07C0047267000	containing rings other than six-membered aromatic rings
C07C0047270000	containing six-membered aromatic rings
C07C0047273000	containing halogen
C07C0047277000	containing ether groups,  groups,  groups, or  groups
C07C0047280000	Saturated compounds having —CHO groups bound to carbon atoms of rings other than six-membered aromatic rings
C07C0047293000	with a three- or four-membered ring
C07C0047300000	with a five-membered ring
C07C0047320000	with a six-membered ring
C07C0047330000	with a seven- to twelve-membered ring
C07C0047340000	polycyclic
C07C0047347000	having a —CHO group on a condensed ring system
C07C0047353000	containing halogen
C07C0047360000	containing hydroxy groups
C07C0047370000	containing ether groups,  groups,  groups, or  groups
C07C0047380000	Unsaturated compounds having —CHO groups bound to carbon atoms of rings other than six-membered aromatic rings
C07C0047395000	with a three- or four-membered ring
C07C0047400000	with a five-membered ring
C07C0047420000	with a six-membered ring
C07C0047430000	with a seven- to twelve-membered ring
C07C0047440000	polycyclic
C07C0047445000	containing a condensed ring system
C07C0047450000	having unsaturation outside the rings
C07C0047453000	containing six-membered aromatic rings
C07C0047457000	containing halogen
C07C0047460000	containing hydroxy groups
C07C0047470000	containing ether groups,  groups,  groups, or  groups
C07C0047520000	Compounds having —CHO groups bound to carbon atoms of six-membered aromatic rings
C07C0047540000	Benzaldehyde
C07C0047542000	Alkylated benzaldehydes
C07C0047544000	Diformyl-benzenes; Alkylated derivatives thereof
C07C0047546000	polycyclic
C07C0047548000	having unsaturation outside the six-membered aromatic rings
C07C0047550000	containing halogen
C07C0047560000	containing hydroxy groups
C07C0047565000	all hydroxy groups bound to the ring
C07C0047570000	polycyclic
C07C0047575000	containing ether groups,  groups,  groups, or  groups
C07C0047580000	Vanillin
C07C0049000000	Ketones; Ketenes; Dimeric ketenes; Ketonic chelates
C07C0049040000	Saturated compounds containing keto groups bound to acyclic carbon atoms
C07C0049080000	Acetone
C07C0049100000	Methyl-ethyl ketone
C07C0049105000	containing rings
C07C0049110000	monocyclic
C07C0049115000	containing condensed ring systems
C07C0049120000	Ketones containing more than one keto group
C07C0049140000	Acetylacetone, i.e. 2,4-pentanedione
C07C0049150000	containing rings
C07C0049160000	containing halogen
C07C0049163000	containing rings
C07C0049167000	containing only fluorine as halogen
C07C0049170000	containing hydroxy groups
C07C0049172000	containing rings
C07C0049173000	containing halogen
C07C0049175000	containing ether groups,  groups,  groups, or  groups
C07C0049185000	containing —CHO groups
C07C0049200000	Unsaturated compounds containing keto groups bound to acyclic carbon atoms
C07C0049203000	with only carbon-to-carbon double bonds as unsaturation
C07C0049205000	Methyl-vinyl ketone
C07C0049207000	with only carbon-to-carbon triple bonds as unsaturation
C07C0049210000	containing rings other than six-membered aromatic rings
C07C0049213000	containing six-membered aromatic rings
C07C0049215000	polycyclic
C07C0049217000	having unsaturation outside the aromatic rings
C07C0049223000	polycyclic
C07C0049225000	containing six-membered aromatic rings and other rings
C07C0049227000	containing halogen
C07C0049230000	containing rings other than six-membered aromatic rings
C07C0049233000	containing six-membered aromatic rings
C07C0049235000	having unsaturation outside the aromatic rings
C07C0049237000	containing six-membered aromatic rings and other rings
C07C0049240000	containing hydroxy groups
C07C0049242000	containing rings other than six-membered aromatic rings
C07C0049245000	containing six-membered aromatic rings
C07C0049248000	having unsaturation outside the aromatic rings
C07C0049252000	containing six-membered aromatic rings and other rings
C07C0049255000	containing ether groups,  groups,  groups, or  groups
C07C0049258000	containing —CHO groups
C07C0049290000	Saturated compounds containing keto groups bound to rings
C07C0049293000	to a three- or four-membered ring
C07C0049297000	to a five-membered ring
C07C0049303000	to a six-membered ring
C07C0049307000	to a seven- to twelve-membered ring
C07C0049313000	polycyclic
C07C0049317000	both carbon atoms bound to the keto group belonging to rings
C07C0049323000	having keto groups bound to condensed ring systems
C07C0049327000	containing halogen
C07C0049333000	polycyclic
C07C0049337000	containing hydroxy groups
C07C0049345000	polycyclic
C07C0049350000	containing ether groups,  groups,  groups, or  groups
C07C0049355000	containing —CHO groups
C07C0049385000	Saturated compounds containing a keto group being part of a ring
C07C0049390000	of a three- or four-membered ring
C07C0049395000	of a five-membered ring
C07C0049403000	of a six-membered ring
C07C0049407000	Menthones
C07C0049413000	of a seven- to twelve-membered ring
C07C0049417000	polycyclic
C07C0049423000	a keto group being part of a condensed ring system
C07C0049427000	having two rings
C07C0049433000	the condensed ring system containing seven carbon atoms
C07C0049437000	Camphor; Fenchone
C07C0049443000	the condensed ring system containing eight or nine carbon atoms
C07C0049447000	the condensed ring system containing ten carbon atoms
C07C0049453000	having three rings
C07C0049457000	containing halogen
C07C0049463000	a keto group being part of a six-membered ring
C07C0049467000	polycyclic
C07C0049473000	a keto group being part of a condensed ring system
C07C0049477000	having two rings
C07C0049483000	having three rings
C07C0049487000	containing hydroxy groups
C07C0049493000	a keto group being part of a three- to five-membered ring
C07C0049497000	a keto group being part of a six-membered ring
C07C0049503000	a keto group being part of a seven- to twelve-membered ring
C07C0049507000	polycyclic
C07C0049513000	a keto group being part of a condensed ring system
C07C0049517000	containing ether groups,  groups,  groups, or  groups
C07C0049523000	containing —CHO groups
C07C0049527000	Unsaturated compounds containing keto groups bound to rings other than six-membered aromatic rings
C07C0049533000	to a three- or four-membered ring
C07C0049537000	to a five-membered ring
C07C0049543000	to a six-membered ring
C07C0049547000	to a seven- to twelve-membered ring
C07C0049553000	polycyclic
C07C0049557000	having unsaturation outside the rings
C07C0049563000	containing six-membered aromatic rings
C07C0049567000	containing halogen
C07C0049573000	containing hydroxy groups
C07C0049577000	containing ether groups,  groups,  groups, or  groups
C07C0049583000	containing —CHO groups
C07C0049587000	Unsaturated compounds containing a keto group being part of a ring
C07C0049593000	of a three- or four-membered ring
C07C0049597000	of a five-membered ring
C07C0049603000	of a six-membered ring
C07C0049607000	of a seven- to twelve-membered ring
C07C0049613000	polycyclic
C07C0049617000	a keto group being part of a condensed ring system
C07C0049623000	having two rings
C07C0049627000	the condensed ring system containing seven carbon atoms
C07C0049633000	the condensed ring system containing eight or nine carbon atoms
C07C0049637000	the condensed ring system containing ten carbon atoms
C07C0049643000	having three rings
C07C0049647000	having unsaturation outside the ring
C07C0049653000	polycyclic
C07C0049657000	containing six-membered aromatic rings
C07C0049665000	a keto group being part of a condensed ring system
C07C0049670000	having two rings, e.g. tetralones
C07C0049675000	having three rings
C07C0049683000	having unsaturation outside the aromatic rings
C07C0049687000	containing halogen
C07C0049693000	polycyclic
C07C0049697000	containing six-membered aromatic rings
C07C0049703000	containing hydroxy groups
C07C0049707000	a keto group being part of a three- to five-membered ring
C07C0049713000	a keto group being part of a six-membered ring
C07C0049717000	a keto group being part of a seven- to twelve-membered ring
C07C0049723000	polycyclic
C07C0049727000	a keto group being part of a condensed ring system
C07C0049733000	having two rings
C07C0049737000	having three rings
C07C0049743000	having unsaturation outside the rings, e.g. humulones, lupulones
C07C0049747000	containing six-membered aromatic rings
C07C0049753000	containing ether groups,  groups,  groups, or  groups
C07C0049755000	a keto group being part of a condensed ring system with two or three rings, at least one ring being a six-membered aromatic ring
C07C0049757000	containing —CHO groups
C07C0049760000	Ketones containing a keto group bound to a six-membered aromatic ring (compounds having a keto group being part of a condensed ring system and being bound to a six-membered aromatic ring C07C0049657000-C07C0049757000)
C07C0049780000	Acetophenone
C07C0049782000	polycyclic
C07C0049784000	with all keto groups bound to a non-condensed ring
C07C0049786000	Benzophenone
C07C0049788000	with keto groups bound to a condensed ring system
C07C0049792000	containing rings other than six-membered aromatic rings
C07C0049794000	having unsaturation outside an aromatic ring
C07C0049796000	polycyclic
C07C0049798000	containing rings other than six-membered aromatic rings
C07C0049800000	containing halogen
C07C0049807000	all halogen atoms bound to the ring
C07C0049813000	polycyclic
C07C0049820000	containing hydroxy groups
C07C0049825000	all hydroxy groups bound to the ring
C07C0049830000	polycyclic
C07C0049835000	having unsaturation outside an aromatic ring
C07C0049840000	containing ether groups,  groups,  groups, or  groups
C07C0049860000	containing —CHO groups
C07C0049880000	Ketenes; Dimeric ketenes
C07C0049900000	Ketene, i.e. C2H2O
C07C0049920000	Ketonic chelates
C07C0050000000	Quinones (for quinone methides, see unsaturated ketones with a keto group being part of a ring)
C07C0050020000	with monocyclic quinoid structure
C07C0050040000	Benzoquinones, i.e. C6H4O2
C07C0050060000	with unsaturation outside the quinoid structure
C07C0050080000	with polycyclic non-condensed quinoid structure
C07C0050100000	the quinoid structure being part of a condensed ring system containing two rings
C07C0050120000	Naphthoquinones, i.e. C10H6O2
C07C0050140000	with unsaturation outside the ring system, e.g. vitamin K1
C07C0050160000	the quinoid structure being part of a condensed ring system containing three rings
C07C0050180000	Anthraquinones, i.e. C14H8O2
C07C0050200000	with unsaturation outside the ring system
C07C0050220000	the quinoid structure being part of a condensed ring system containing four or more rings
C07C0050240000	containing halogen
C07C0050260000	containing groups having oxygen atoms singly bound to carbon atoms
C07C0050280000	with monocyclic quinoid structure
C07C0050300000	with polycyclic non-condensed quinoid structure
C07C0050320000	the quinoid structure being part of a condensed ring system having two rings
C07C0050340000	the quinoid structure being part of a condensed ring system having three rings
C07C0050360000	the quinoid structure being part of a condensed ring system having four or more rings
C07C0050380000	containing —CHO or non-quinoid keto groups
C07C0051000000	Preparation of carboxylic acids or their salts, halides, or anhydrides
C07C0051020000	from salts of carboxylic acids
C07C0051040000	from carboxylic acid halides
