B	PERFORMING OPERATIONS; TRANSPORTING
B24B0007040000	involving a rotary work-table
B24B0007060000	involving conveyor belts, a sequence of travelling work-tables or the like
B24B0007070000	involving a stationary work-table
B24B0007080000	having an abrasive wheel built in
B24B0007100000	Single-purpose machines or devices
B24B0007120000	for grinding travelling elongated stock, e.g. strip-shaped work
B24B0007130000	grinding while stock moves from coil to coil
B24B0007140000	for grinding slideways
B24B0007160000	for grinding end faces, e.g. of gauges, rollers, nuts or piston rings (for combined grinding of surfaces of revolution and of adjacent plane surfaces on work B24B0005010000)
B24B0007170000	for simultaneously grinding opposite and parallel end faces, e.g. double disc grinders
B24B0007180000	for grinding floorings, walls, ceilings or the like
B24B0007190000	for grinding plane decorative patterns
B24B0007200000	characterised by a special design with respect to properties of the material of non-metallic articles to be ground
B24B0007220000	for grinding inorganic material, e.g. stone, ceramics, porcelain
B24B0007240000	for grinding or polishing glass
B24B0007260000	for simultaneously grinding or polishing opposite faces of continuously travelling sheets or bands of glass
B24B0007280000	for grinding wood
B24B0007300000	for grinding plastics
B24B0009000000	Machines or devices designed for grinding edges or bevels on work or for removing burrs; Accessories therefor (B24B0021000000 takes precedence;for sharpening cutting edges on tools B24B0003000000;removing burrs by loose abrasive material B24B0031000000)
B24B0009020000	characterised by a special design with respect to properties of materials specific to articles to be ground
B24B0009040000	of metal, e.g. skate blades
B24B0009060000	of non-metallic inorganic material, e.g. stone, ceramics, porcelain
B24B0009080000	of glass
B24B0009100000	of plate glass
B24B0009120000	of hollow glassware, e.g. drinking glasses, preserve jars, television picture tube viewing panels
B24B0009140000	of optical work, e.g. lenses, prisms
B24B0009160000	of diamonds, of jewels or the like; Diamond grinders' dops; Dop holders or tongs (for grinding sharp pointed diamonds or sapphires B24B0019160000)
B24B0009180000	of wood
B24B0009200000	of plastics
B24B0011000000	Machines or devices designed for grinding spherical surfaces or parts of spherical surfaces on work; Accessories therefor
B24B0011020000	for grinding balls
B24B0011040000	involving grinding wheels
B24B0011060000	acting by the front faces, e.g. of plane, grooved, or bevelled shape
B24B0011080000	acting by the circumference
B24B0011100000	of cup type
B24B0013000000	Machines or devices designed for grinding or polishing optical surfaces on lenses or surfaces of similar shape on other work; Accessories therefor (edging optical work, e.g. lenses, prisms, B24B0009140000)
B24B0013005000	Blocking means, chucks or the like; Alignment devices
B24B0013010000	Specific tools, e.g. bowl-like; Production, dressing or fastening of these tools
B24B0013015000	of televison picture tube viewing panels, headlight reflectors or the like
B24B0013020000	by means of tools with abrading surfaces corresponding in shape with the lenses to be made
B24B0013040000	grinding of lenses involving grinding wheels controlled by gearing (B24B0013060000 takes precedence)
B24B0013060000	grinding of lenses, the tool or work being controlled by information carrying means, e.g. patterns, punched tapes, magnetic tapes
B24B0015000000	Machines or devices designed for grinding seat surfaces; Accessories therefor
B24B0015020000	in valve housings
B24B0015030000	using portable or mobile machines
B24B0015040000	on valve members
B24B0015060000	on openings of bottles; on bottle stoppers or the like
B24B0015080000	for grinding co-operating seat surfaces by moving one over the other
B24B0017000000	Special adaptations of machines or devices for grinding controlled by patterns, drawings, magnetic tapes or the like; Accessories therefor
B24B0017020000	involving mechanical transmission means only
B24B0017040000	involving optical auxiliary means, e.g. optical projection form grinding machines
B24B0017060000	combined with electrical transmission means, e.g. controlled by photoelectric cells
B24B0017080000	involving fluid transmission means only
B24B0017100000	involving electrical transmission means only, e.g. controlled by magnetic tape
B24B0019000000	Single purpose machines or devices for particular grinding operations not covered by any other main group (grinding screw threads B23G0001360000)
B24B0019020000	for grinding grooves, e.g. on shafts, in casings, in tubes, homokinetic joint elements
B24B0019030000	for grinding grooves in glass workpieces, e.g. decorative grooves
B24B0019040000	for fluting drill shanks
B24B0019060000	for grinding races, e.g. roller races
B24B0019080000	for grinding non-circular cross-sections, e.g. shafts of elliptical or polygonal cross-section
B24B0019090000	for grinding trochoidal surfaces, e.g. in rotor housings of Wankel engines
B24B0019100000	for grinding pistons
B24B0019110000	for grinding the circumferential surface of rings, e.g. piston rings
B24B0019120000	for grinding cams or camshafts
B24B0019140000	for grinding turbine blades, propeller blades or the like
B24B0019160000	for grinding sharp-pointed workpieces, e.g. needles, pens, fish hooks, tweezers or record player styli (polishing of needles B24B0029080000)
B24B0019180000	for grinding carding equipment, e.g. card-clothings
B24B0019200000	for grinding dies
B24B0019220000	characterised by a special design with respect to properties of the material of non-metallic articles to be ground
B24B0019240000	of wood, e.g. furniture
B24B0019260000	for grinding workpieces with arcuate surfaces, e.g. parts of car bodies, bumpers or magnetic recording heads
B24B0019280000	for grinding shoes or linings of drum brakes
B24B0021000000	Machines or devices using grinding or polishing belts (portable belt-grinding machines B24B0023060000); Accessories therefor
B24B0021020000	for grinding rotationally symmetrical surfaces
B24B0021040000	for grinding plane surfaces
B24B0021060000	involving members with limited contact area pressing the belt against the work, e.g. shoes sweeping across the whole area to be ground (B24B0021120000 takes precedence)
B24B0021080000	Pressure shoes; Backing belts
B24B0021100000	involving a rigid member, e.g. pressure bar, table, pressing or supporting the belt over substantially its whole span
B24B0021120000	involving a contact wheel or roller pressing the belt against the work
B24B0021140000	Contact wheels; Contact rollers; Belt supporting rolls
B24B0021160000	for grinding other surfaces of particular shape
B24B0021180000	Accessories
B24B0021200000	for controlling or adjusting the tracking or the tension of the grinding belt
B24B0021220000	for producing a reciprocation of the grinding belt normal to its direction of movement
B24B0023000000	Portable grinding machines, e.g. hand-guided; Accessories therefor (B24B0007180000 takes precedence;dust extraction equipment B24B0055100000)
B24B0023020000	with rotating grinding tools; Accessories therefor
B24B0023030000	the tool being driven in a combined movement
B24B0023040000	with oscillating grinding tools; Accessories therefor
B24B0023060000	with abrasive belts, e.g. with endless travelling belts; Accessories therefor
B24B0023080000	Portable grinding machines designed for fastening on workpieces or other parts of particular section, e.g. for grinding commutators
B24B0025000000	Grinding machines of universal type
B24B0027000000	Other grinding machines or devices
B24B0027020000	Bench grinders
B24B0027027000	having a flexible shaft
B24B0027033000	for grinding a surface for cleaning purposes, e.g. for descaling or for grinding off flaws in the surface
B24B0027040000	Grinding machines or devices in which the grinding tool is supported on a swinging arm
B24B0027060000	Grinders for cutting-off
B24B0027080000	being portable
B24B0029000000	Polishing surfaces; Finishing surfaces
B24B0029000000	Machines or devices for polishing surfaces on work by means of tools made of soft or flexible material with or without the application of solid or liquid polishing agents (for grinding or polishing using belts B24B0021000000)
B24B0029020000	designed for particular workpieces
B24B0029040000	for rotationally symmetrical workpieces, e.g. ball-, cylinder- or cone-shaped workpieces
B24B0029060000	for elongated workpieces having uniform cross-section in one main direction
B24B0029080000	the cross-section being circular, e.g. tubes, wires, needles
B24B0029100000	for table cutlery
B24B0031000000	Machines or devices designed for polishing or abrading surfaces on work by means of tumbling apparatus or other apparatus in which the work or the abrasive material is loose; Accessories therefor (abrasive blasting machines B24C0003260000)
